science_decreases_jobs,trust_neighbours,trust_government,trust_scientists,trust_journalists,trust_doctors,trust_ngos,trust_trad_healers,age,gender,education,hh_income,subj_income,emp_status
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,64,Male,Secondary (8-15 years),Richest 20%,Getting by on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,38,Male,Secondary (8-15 years),Middle 20%,Getting by on present income,Employed full time for an employer
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,44,Female,Tertiary,Richest 20%,Living comfortable on present income,Employed full time for an employer
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,49,Male,Tertiary,Middle 20%,Living comfortable on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,53,Female,Tertiary,Richest 20%,Living comfortable on present income,Employed part time want full time
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,68,Female,Tertiary,Fourth 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,67,Female,Tertiary,Fourth 20%,Living comfortable on present income,Employed full time for an employer
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,54,Female,Secondary (8-15 years),Fourth 20%,Living comfortable on present income,Employed full time for an employer
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,67,Male,Secondary (8-15 years),Second 20%,Getting by on present income,Out of workforce
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,74,Female,Tertiary,Richest 20%,Living comfortable on present income,Out of workforce
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,22,Male,Secondary (8-15 years),Fourth 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,62,Male,Secondary (8-15 years),Second 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,45,Male,Elementary or less (8 years or less),Poorest 20%,Getting by on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,60,Female,Tertiary,Richest 20%,Living comfortable on present income,Employed full time for self
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,62,Female,Secondary (8-15 years),Richest 20%,Living comfortable on present income,Employed full time for an employer
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,72,Male,Secondary (8-15 years),Poorest 20%,Getting by on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,77,Female,Secondary (8-15 years),Middle 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,72,Female,Tertiary,Fourth 20%,Living comfortable on present income,Out of workforce
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,72,Female,Secondary (8-15 years),Second 20%,Finding it difficult on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,76,Male,Secondary (8-15 years),Fourth 20%,Living comfortable on present income,Out of workforce
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,26,Male,Tertiary,Middle 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,57,Female,Secondary (8-15 years),Richest 20%,Getting by on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,74,Female,Tertiary,Richest 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,19,Male,Secondary (8-15 years),Second 20%,Getting by on present income,Out of workforce
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,37,Male,Tertiary,Richest 20%,Living comfortable on present income,Employed full time for an employer
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,22,Male,Tertiary,Fourth 20%,Living comfortable on present income,Employed part time want full time
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,69,Female,Secondary (8-15 years),Fourth 20%,Living comfortable on present income,Employed part time do not want full time
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,71,Female,Tertiary,Fourth 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,80,Female,Secondary (8-15 years),Middle 20%,Getting by on present income,Out of workforce
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,51,Male,Tertiary,Fourth 20%,Living comfortable on present income,Employed full time for an employer
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,60,Male,Tertiary,Poorest 20%,Finding it difficult on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,67,Female,Tertiary,Middle 20%,Getting by on present income,Out of workforce
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,75,Male,Tertiary,Fourth 20%,Living comfortable on present income,Employed full time for self
TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,32,Male,Tertiary,Fourth 20%,Getting by on present income,Employed full time for an employer
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,65,Female,Secondary (8-15 years),Fourth 20%,Finding it very difficult on present income,Employed full time for self
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,77,Female,Tertiary,Fourth 20%,Living comfortable on present income,Out of workforce
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,72,Male,Tertiary,Second 20%,Living comfortable on present income,Out of workforce
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,33,Female,Secondary (8-15 years),Poorest 20%,Getting by on present income,Employed part time want full time
