Area code, population_density, pct_age_16_64, modelled_unemployment_rate, gdhi_per_head, median_weekly_pay, inward_fdi, active_businesses, business_births   , business_deaths   , high_growth_businesses, cancer_stage1_2   , gigabit_broadband, coverage_4g, coverage_5g, premises_below_30mbps, travel_time_bike  , travel_time_car  , travel_time_pt_walk, Area name
E09000032,             9765.0,         74.06,                        3.5,       39584.0,             720.9,           ,           19510.0, 14.402870322911326, 11.840082009226037,     4.97737556561086  ,                   ,              89.7,      100.0 ,      100.0 ,                   0.8,  7.12142300379532 ,  6.59596578297487,    6.24784594785723, Wandsworth
E09000033,             9702.0,         73.99,                        4.2,       67216.0,             703.9,           ,           55170.0, 12.225847380822911,  8.945078847199566,     5.639781685870225 ,                   ,              87.9,      100.0 ,      100.0 ,                   3.3,  6.73570489515515 ,  6.46227953278718,    5.08266707038003, Westminster
E10000002,                   ,              ,                           ,              ,                  ,           ,           33055.0, 10.21025563454848 ,  9.363182574497051,     4.8169556840077075,                   ,                  ,            ,            ,                      , 10.2822877639976  ,  7.73906544611018,   12.4856926579155 , 
E10000003,              220.0,         63.79,                           ,       22500.0,             536.7,           ,           30000.0, 11.816666666666666,  9.183333333333334,     5.756578947368421 , 54.59029          ,              87.4,      100.0 ,       96.79,                   2.0, 10.8050984739517  ,  7.8785080800631 ,   13.6109938219216 , Cambridgeshire
E10000006,                   ,              ,                           ,              ,                  ,           ,           19780.0,  8.695652173913043,  9.327603640040445,     3.7280701754385963,                   ,                  ,            ,            ,                      , 13.4270227309716  ,  8.93087397874813,   19.5312653112035 , 
E10000007,              310.0,         61.0 ,                           ,       19046.0,             455.2,           ,           29835.0, 10.256410256410255,  9.200603318250378,     4.24886191198786  , 52.942859999999996,              85.4,       97.97,       90.95,                   2.1, 10.664314833733   ,  7.8922298023784 ,   11.9979798416753 , Derbyshire
E10000008,              121.0,         58.28,                           ,       20294.0,             415.0,           ,           32365.0,  8.944847829445388,  8.713116020392398,     4.111405835543767 , 57.84601          ,              70.0,       98.22,       59.25,                   8.4, 13.7554345670555  ,  9.16641862308481,   18.4800866039334 , Devon
E10000009,                   ,              ,                           ,              ,                  ,           ,                  ,                   ,                   ,                       ,                   ,                  ,            ,            ,                      , 12.0577944984373  ,  8.39223857129137,   15.3761987093525 , 
E10000011,              319.0,         57.33,                           ,       22470.0,             447.2,           ,           23880.0, 10.154941373534339,  9.631490787269682,     2.810304449648712 ,                   ,              73.5,       99.74,       85.5 ,                   1.6, 10.5741151505248  ,  7.83813176587402,   12.1782016087093 , East Sussex
E10000012,              431.0,         60.8 ,                           ,       22784.0,             493.4,           ,           71125.0, 11.662565905096661, 10.003514938488577,     4.407051282051282 , 55.94416999999999 ,              84.7,       99.99,       96.73,                   1.7, 10.6515405456092  ,  8.0331570251512 ,   12.5475517500986 , Essex
